model_id,faulting_style,mw_min,mw_max,source_citation,source_doi,framework_class_path
youngs2003_normal,normal,4.5,7.6,"Youngs, R. R., Arabasz, W. J., Anderson, R. E., et al. (2003). A methodology for probabilistic fault displacement hazard analysis (PFDHA). Earthquake Spectra, 19(1), 191-219.",10.1193/1.1542891,openquake.fdha.primary_surf_rup.youngs2003.Youngs2003PrimarySR
youngs2003_all,normal,4.5,7.6,"Youngs, R. R., Arabasz, W. J., Anderson, R. E., et al. (2003). A methodology for probabilistic fault displacement hazard analysis (PFDHA). Earthquake Spectra, 19(1), 191-219.",10.1193/1.1542891,openquake.fdha.primary_surf_rup.youngs2003.Youngs2003PrimarySR
pizza2023_normal,normal,5.5,7.9,"Pizza, M., Ferrario, M. F., Thomas, F., Tringali, G., & Livio, F. (2023). Likelihood of primary surface faulting: Updating of empirical regressions. Bulletin of the Seismological Society of America, 113(5), 2106-2118.",10.1785/0120230019,openquake.fdha.primary_surf_rup.pizza2023.Pizza2023PrimarySR
mammarella2024_normal_msr0,normal,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_normal_msr1,normal,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_normal_msr2,normal,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mossross2011,reverse,5.5,8.0,"Moss, R. E. S., & Ross, Z. E. (2011). Probabilistic fault displacement hazard analysis for reverse faults. Bulletin of the Seismological Society of America, 101(4), 1542-1553.",10.1785/0120100248,openquake.fdha.primary_surf_rup.moss_ross2011.MossRoss2011PrimarySR
moss2013_reverse_stiff,reverse,4.2,8.7,"Moss, R. E. S., Stanton, K. V., & Buelna, M. I. (2013). The impact of material stiffness on the likelihood of fault rupture propagating to the ground surface. Seismological Research Letters, 84(3), 485-488.",10.1785/0220120113,openquake.fdha.primary_surf_rup.moss2013.Moss2013PrimarySR
moss2013_reverse_soft,reverse,4.2,8.7,"Moss, R. E. S., Stanton, K. V., & Buelna, M. I. (2013). The impact of material stiffness on the likelihood of fault rupture propagating to the ground surface. Seismological Research Letters, 84(3), 485-488.",10.1785/0220120113,openquake.fdha.primary_surf_rup.moss2013.Moss2013PrimarySR
takao2013_reverse,reverse,5.5,7.4,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,openquake.fdha.primary_surf_rup.takao2013.Takao2013PrimarySR
yang2021,reverse,4.7,6.6,"Yang, H., Quigley, M., & King, T. (2021). Surface slip distributions and geometric complexity of intraplate reverse-faulting earthquakes. GSA Bulletin, 133(9-10), 1909-1929.",10.1130/B35809.1,openquake.fdha.primary_surf_rup.yang2021.Yang2021PrimarySR
pizza2023_reverse,reverse,5.5,7.9,"Pizza, M., Ferrario, M. F., Thomas, F., Tringali, G., & Livio, F. (2023). Likelihood of primary surface faulting: Updating of empirical regressions. Bulletin of the Seismological Society of America, 113(5), 2106-2118.",10.1785/0120230019,openquake.fdha.primary_surf_rup.pizza2023.Pizza2023PrimarySR
mammarella2024_reverse_msr0,reverse,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_reverse_msr1,reverse,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_reverse_msr2,reverse,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
moss2013_ss_stiff,strike-slip,4.2,8.7,"Moss, R. E. S., Stanton, K. V., & Buelna, M. I. (2013). The impact of material stiffness on the likelihood of fault rupture propagating to the ground surface. Seismological Research Letters, 84(3), 485-488.",10.1785/0220120113,openquake.fdha.primary_surf_rup.moss2013.Moss2013PrimarySR
moss2013_ss_soft,strike-slip,4.2,8.7,"Moss, R. E. S., Stanton, K. V., & Buelna, M. I. (2013). The impact of material stiffness on the likelihood of fault rupture propagating to the ground surface. Seismological Research Letters, 84(3), 485-488.",10.1785/0220120113,openquake.fdha.primary_surf_rup.moss2013.Moss2013PrimarySR
takao2013_strikeslip,strike-slip,5.5,7.4,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,openquake.fdha.primary_surf_rup.takao2013.Takao2013PrimarySR
pizza2023_strikeslip,strike-slip,5.5,7.9,"Pizza, M., Ferrario, M. F., Thomas, F., Tringali, G., & Livio, F. (2023). Likelihood of primary surface faulting: Updating of empirical regressions. Bulletin of the Seismological Society of America, 113(5), 2106-2118.",10.1785/0120230019,openquake.fdha.primary_surf_rup.pizza2023.Pizza2023PrimarySR
mammarella2024_strikeslip_msr0,strike-slip,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_strikeslip_msr1,strike-slip,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
mammarella2024_strikeslip_msr2,strike-slip,5.0,8.0,"Mammarella, L., Iervolino, I., & Valentini, A. (2024). Conditional probability of surface rupture: A numerical approach for principal faulting. Earthquake Spectra.",10.1177/87552930241293570,openquake.fdha.primary_surf_rup.mammarella2024.Mammarella2024PrimarySR
wc1993,all,5.0,8.2,"Wells, D. L., & Coppersmith, K. J. (1993). Likelihood of surface rupture as a function of magnitude (abstract). Seismological Research Letters, 64(1), 54.",,openquake.fdha.primary_surf_rup.wells_coppersmith1993.WC1993PrimarySR
pizza2023_all,all,5.5,7.9,"Pizza, M., Ferrario, M. F., Thomas, F., Tringali, G., & Livio, F. (2023). Likelihood of primary surface faulting: Updating of empirical regressions. Bulletin of the Seismological Society of America, 113(5), 2106-2118.",10.1785/0120230019,openquake.fdha.primary_surf_rup.pizza2023.Pizza2023PrimarySR
