panel_id,subfigure,model_id,display_name,faulting_style,prediction_type,statistical_distribution,percentile,mw_validity_min,mw_validity_max,xL_validity_min,xL_validity_max,framework_class_path,source_citation,source_doi,exclusion_reason
a,A,youngs2003_md,"Youngs et al. (2003), Pezzopane and Dawson data",normal,D/MD,Beta,50,4.5,7.6,0.0,0.5,openquake.fdha.primary_surf_displ.youngs2003.Youngs2003PrimaryFD,"Youngs, R. R., Arabasz, W. J., Anderson, R. E., et al. (2003). A methodology for probabilistic fault displacement hazard analysis (PFDHA). Earthquake Spectra, 19(1), 191-219.",10.1193/1.1542891,
b,A,mossross2011_md_beta,"Moss and Ross (2011), Beta on D/MD",reverse,D/MD,Beta,50,5.5,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.moss_ross2011.MossRoss2011PrimaryFD,"Moss, R. E. S., & Ross, Z. E. (2011). Probabilistic fault displacement hazard analysis for reverse faults. Bulletin of the Seismological Society of America, 101(4), 1542-1553.",10.1785/0120100248,
b,A,moss2024_md_gamma,Moss et al. (2024),reverse,D/MD,Gamma,50,4.7,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.moss2024.Moss2024PrimaryFD,"Moss, R. E. S., Thompson, S. C., Kuo, C.-H., Younesi, K., & Baumont, D. (2024). New probabilistic fault displacement hazard models for reverse faulting. Earthquake Spectra.",10.1177/87552930241288560,
c,A,takao2013_md_long,"Takao et al. (2013), L >= 10 km",strike-slip,D/MD,Beta,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
c,A,takao2013_md_short,"Takao et al. (2013), L < 10 km",strike-slip,D/MD,Beta,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
d,A,youngs2003_ad,"Youngs et al. (2003), Pezzopane and Dawson data",normal,D/AD,Gamma,50,4.5,7.6,0.0,0.5,openquake.fdha.primary_surf_displ.youngs2003.Youngs2003PrimaryFD,"Youngs, R. R., Arabasz, W. J., Anderson, R. E., et al. (2003). A methodology for probabilistic fault displacement hazard analysis (PFDHA). Earthquake Spectra, 19(1), 191-219.",10.1193/1.1542891,
e,A,mossross2011_ad_gamma,"Moss and Ross (2011), Gamma on D/AD",reverse,D/AD,Gamma,50,5.5,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.moss_ross2011.MossRoss2011PrimaryFD,"Moss, R. E. S., & Ross, Z. E. (2011). Probabilistic fault displacement hazard analysis for reverse faults. Bulletin of the Seismological Society of America, 101(4), 1542-1553.",10.1785/0120100248,
e,A,mossross2011_ad_weibull,"Moss and Ross (2011), Weibull on D/AD",reverse,D/AD,Weibull,50,5.5,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.moss_ross2011.MossRoss2011PrimaryFD,"Moss, R. E. S., & Ross, Z. E. (2011). Probabilistic fault displacement hazard analysis for reverse faults. Bulletin of the Seismological Society of America, 101(4), 1542-1553.",10.1785/0120100248,
e,A,moss2024_ad_gamma,Moss et al. (2024),reverse,D/AD,Gamma,50,4.7,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.moss2024.Moss2024PrimaryFD,"Moss, R. E. S., Thompson, S. C., Kuo, C.-H., Younesi, K., & Baumont, D. (2024). New probabilistic fault displacement hazard models for reverse faulting. Earthquake Spectra.",10.1177/87552930241288560,
e,A,takao2013_ad_long,"Takao et al. (2013), L >= 10 km",reverse,D/AD,Gamma,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
e,A,takao2013_ad_short,"Takao et al. (2013), L < 10 km",reverse,D/AD,Gamma,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
f,A,petersen2011_bilinear_ad,"Petersen et al. (2011), Bilinear",strike-slip,D/AD,Lognormal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_bilinear,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
f,A,petersen2011_elliptical_ad,"Petersen et al. (2011), Elliptical",strike-slip,D/AD,Lognormal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_elliptical,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
f,A,petersen2011_quadratic_ad,"Petersen et al. (2011), Quadratic",strike-slip,D/AD,Lognormal,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.petersen2011.Petersen2011PrimaryFD_quadratic,"Petersen, M. D., Dawson, T. E., Chen, R., Cao, T., Wills, C. J., Schwartz, D. P., & Frankel, A. D. (2011). Fault displacement hazard for strike-slip faults. Bulletin of the Seismological Society of America, 101(2), 805-825.",10.1785/0120100035,
f,A,takao2013_ad_long_ss,"Takao et al. (2013), L >= 10 km",strike-slip,D/AD,Gamma,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
f,A,takao2013_ad_short_ss,"Takao et al. (2013), L < 10 km",strike-slip,D/AD,Gamma,50,5.8,7.4,0.0,0.5,openquake.fdha.primary_surf_displ.takao2013.Takao2013PrimaryFD,"Takao, M., Tsuchiyama, J., Annaka, T., & Kurita, T. (2013). Application of probabilistic fault displacement hazard analysis in Japan. Journal of Japan Association for Earthquake Engineering, 13(1), 17-36.",10.5610/jaee.13.1_17,
g,B,lav2023_normal,Lavrentiadis and Abrahamson (2023),normal,absolute_cm,aggregate-primary,50,5.0,8.5,0.0,0.5,openquake.fdha.primary_surf_displ.lavrentiadis2023.Lavrentiadis2023PrimaryFD,"Lavrentiadis, G., & Abrahamson, N. A. (2023). A non-ergodic spectral acceleration ground motion model for California developed with random vibration theory. Bulletin of Earthquake Engineering, 21, 5265-5291.",10.1007/s10518-023-01773-0,
g,B,kuehn2024_normal,Kuehn et al. (2024),normal,absolute_cm,aggregate,50,6.0,8.0,0.0,0.5,openquake.fdha.primary_surf_displ.kuehn2024.kuehn2024.Kuehn2024PrimaryFD,"Kuehn, N. M., Kottke, A. R., Sarmiento, A. C., Madugo, C. M., & Bozorgnia, Y. (2024). A fault displacement model based on the FDHI database. Earthquake Spectra.",10.1177/87552930241291077,
